,trip_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_community_area,dropoff_community_area,fare,tip,additional_charges,trip_total,shared_trip_authorized,trips_pooled,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location,pickup_census_tract,dropoff_census_tract
0,a1791085d1b8618263eab760f2c8c68fa83eb28f,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,364,1.31433,8,24,10,0,3.56,13.56,False,1,41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",41.9012069941,-87.6763559892,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",,
1,38e69ccb820ef451d1947708cddb7e249e79d531,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,338,1.637499,25,25,5,0,3.1,8.1,False,1,41.8906088526,-87.7560467111,"{'type': 'Point', 'coordinates': [-87.7560467111, 41.8906088526]}",41.8906088526,-87.7560467111,"{'type': 'Point', 'coordinates': [-87.7560467111, 41.8906088526]}",,
2,1d96c48674ac36d095b6ea929ed094886709370c,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,590,4.858401,6,8,7.5,0,3.1,10.6,False,1,41.9442266014,-87.6559981815,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,
3,4176cbf182bdcdd22df6036c5b8566d616bd0ee7,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,896,11.039328,28,42,17.5,0,3.65,21.15,False,1,41.874005383,-87.6635175498,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",41.7788768603,-87.5949254391,"{'type': 'Point', 'coordinates': [-87.5949254391, 41.7788768603]}",,
4,c8c2f10e5a32981d0575b018633dd336cd26a91e,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,965,6.317872,21,3,12.5,0,3.59,16.09,False,1,41.9386661962,-87.7112105933,"{'type': 'Point', 'coordinates': [-87.7112105933, 41.9386661962]}",41.96581197,-87.6558787862,"{'type': 'Point', 'coordinates': [-87.6558787862, 41.96581197]}",,
5,54235ba3c819961e6f371e861aab66284a161722,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,899,3.805709,6,16,10,0,3.1,13.1,False,1,41.9442266014,-87.6559981815,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",41.9535821253,-87.7234523905,"{'type': 'Point', 'coordinates': [-87.7234523905, 41.9535821253]}",,
6,f9a9fc876d855fb45cd571f5910b8ad606b9aa18,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,274,0.882072,59,59,5,0,3.57,8.57,False,1,41.8299223039,-87.6725026464,"{'type': 'Point', 'coordinates': [-87.6725026464, 41.8299223039]}",41.8299223039,-87.6725026464,"{'type': 'Point', 'coordinates': [-87.6725026464, 41.8299223039]}",,
7,bb45753b51ac89635707d1bdf1035152a3615afd,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,350,1.964314,6,7,5,0,3.1,8.1,False,1,41.9442266014,-87.6559981815,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",41.9226862843,-87.6494887289,"{'type': 'Point', 'coordinates': [-87.6494887289, 41.9226862843]}",,
8,777853bf1f862fe72d7b88da916e04b60c292c72,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,284,1.44506,8,8,5,0,3.26,8.26,False,1,41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,
9,aca851a0fa6d068c72c447a5aa0bae549182a44d,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,127,0.579271,31,31,2.5,0,3.1,5.6,False,1,41.8502663663,-87.667569312,"{'type': 'Point', 'coordinates': [-87.667569312, 41.8502663663]}",41.8502663663,-87.667569312,"{'type': 'Point', 'coordinates': [-87.667569312, 41.8502663663]}",,
10,19cca94f0c570c920f83a1adaa407d0ba22f7e94,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,296,2.033318,8,28,5,0,3.1,8.1,False,1,41.8920421365,-87.6318639497,"{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",41.8792550844,-87.642648998,"{'type': 'Point', 'coordinates': [-87.642648998, 41.8792550844]}",17031081700,17031281900
11,876f34e89e2430508ddc204a8d97d81b54ea0885,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,402,1.190763,8,8,5,0,3.1,8.1,False,1,41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,
12,c085094db6c11f9bde3466005066745b7ab5ca21,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,554,2.415882,30,30,7.5,0,3.1,10.6,False,1,41.8390869059,-87.714003807,"{'type': 'Point', 'coordinates': [-87.714003807, 41.8390869059]}",41.8390869059,-87.714003807,"{'type': 'Point', 'coordinates': [-87.714003807, 41.8390869059]}",,
13,f648e7792a1f823accb8252de92a3b222056147c,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,425,2.028813,3,77,5,0,3.1,8.1,False,1,41.96581197,-87.6558787862,"{'type': 'Point', 'coordinates': [-87.6558787862, 41.96581197]}",41.9867117999,-87.6634164054,"{'type': 'Point', 'coordinates': [-87.6634164054, 41.9867117999]}",,
14,f0bdf3da20d3f4fcc7f121162dbae8e90289d825,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,450,2.542759,42,44,5,0,3.57,8.57,False,1,41.7788768603,-87.5949254391,"{'type': 'Point', 'coordinates': [-87.5949254391, 41.7788768603]}",41.7402057565,-87.6159695226,"{'type': 'Point', 'coordinates': [-87.6159695226, 41.7402057565]}",,
15,5b0b6a7b6c5e12c8d4f9a051124bd3edd0136220,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,547,2.166538,22,22,5,0,3.1,8.1,False,1,41.9227606205,-87.6991553432,"{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}",41.9227606205,-87.6991553432,"{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}",,
16,08fcf07d7000e51a51c0d5ce6cf15be489a0748e,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,169,0.642399,32,32,2.5,0,3.1,5.6,False,1,41.8809944707,-87.6327464887,"{'type': 'Point', 'coordinates': [-87.6327464887, 41.8809944707]}",41.8809944707,-87.6327464887,"{'type': 'Point', 'coordinates': [-87.6327464887, 41.8809944707]}",17031839100,17031839100
17,edb69a08b9fd0777e0c102964b421f0d057427ea,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,992,7.086201,24,25,15,0,3.41,18.41,False,1,41.9012069941,-87.6763559892,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",41.8906088526,-87.7560467111,"{'type': 'Point', 'coordinates': [-87.7560467111, 41.8906088526]}",,
18,fb9baa4debef56a16932de065d15860840c987db,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,494,3.743287,6,8,7.5,0,3.46,10.96,False,1,41.9442266014,-87.6559981815,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,
19,c5a854a7c390aefae45f828207fb2c158dfab4b1,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,457,2.699564,24,22,5,0,3.1,8.1,False,1,41.9012069941,-87.6763559892,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",41.9227606205,-87.6991553432,"{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}",,
20,8564819ee49f31fbc1c43e3b037f9632e9a3c224,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,391,0.924682,28,8,5,0,3.73,8.73,False,1,41.874005383,-87.6635175498,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,
21,51005a0488e1c0533dbbd2a82efd9b34dd928d0c,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,631,3.251409,28,8,10,0,4.44,14.440000000000001,False,1,41.874005383,-87.6635175498,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,
22,a47dd8832db7baa277a744562d23efa4d595ea43,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,160,0.404268,8,8,5,0,3.1,8.1,False,1,41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,
23,fa0367705b50473667d69d6cdf4f86bb15e3372b,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,417,3.819934,,76,7.5,5,8.099999999999999,20.6,False,1,,,,41.9802643146,-87.913624596,"{'type': 'Point', 'coordinates': [-87.913624596, 41.9802643146]}",,
24,ed9b34dd5ca2c733335b6794a53310980ebdd7f2,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,764,3.38883,66,68,7.5,5,4.13,16.63,False,1,41.7718485152,-87.695666342,"{'type': 'Point', 'coordinates': [-87.695666342, 41.7718485152]}",41.7771962546,-87.6424975271,"{'type': 'Point', 'coordinates': [-87.6424975271, 41.7771962546]}",,
25,f1d28fd2bc6fcf5688b7449c6d299cf5bf2acf74,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,382,1.28457,8,8,5,0,3.1,8.1,False,1,41.8920421365,-87.6318639497,"{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",41.9049353016,-87.6499072264,"{'type': 'Point', 'coordinates': [-87.6499072264, 41.9049353016]}",17031081700,17031842200
26,0ce3bc940834d98715952563b4a03a2d64073042,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,748,3.396406,77,5,7.5,0,3.5,11,False,1,41.9867117999,-87.6634164054,"{'type': 'Point', 'coordinates': [-87.6634164054, 41.9867117999]}",41.9477915865,-87.6838349425,"{'type': 'Point', 'coordinates': [-87.6838349425, 41.9477915865]}",,
27,0e0496da1ea412f7f21b7e19cfe1a71c11af03d2,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,452,2.190209,7,6,5,0,3.51,8.51,False,1,41.9226862843,-87.6494887289,"{'type': 'Point', 'coordinates': [-87.6494887289, 41.9226862843]}",41.9442266014,-87.6559981815,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",,
28,5a591166dd5c6c3bc695c39ac332ba62da127819,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,444,2.746273,6,77,5,0,3.1,8.1,False,1,41.9442266014,-87.6559981815,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",41.9867117999,-87.6634164054,"{'type': 'Point', 'coordinates': [-87.6634164054, 41.9867117999]}",,
29,4f8a7207297d47d2111abb09931f659e88c54b5b,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,736,5.204322,1,,10,2,3.1,15.1,False,1,42.0096228806,-87.6701668569,"{'type': 'Point', 'coordinates': [-87.6701668569, 42.0096228806]}",,,,,
